FisheryID,FisheryName,Gear,Num_Chars,PSC_Code
198,SE AK Net,2,3,1M1
198,SE AK Net,3,3,1M1
198,SE AK Net,6,3,1M1
199,SE AK Sport,4,3,1M1
195,SE AK  Trl,1,6,1M1   
197,NE AK  Trl,1,5,1M1NE
196,NW AK  Trl,1,5,1M1NW
195,SE AK  Trl,1,5,1M1SE
194,SW AK  Trl,1,5,1M1SW
169,Fraser Spt,4,7,2F 29FW
169,Fraser Spt,4,9,2F 29M298
169,Fraser Spt,4,9,2F 29M299
169,Fraser Spt,4,9,2F 29M301
88,A 6-7A Net,2,5,2M*60
172,NoC BC Trl,1,5,2MN05
171,No BC  Trl,1,5,2MN06
178,No BC  Net,2,5,2MN09
179,Cen BC Net,2,5,2MN12
187,No BC  Spt,4,5,2MN25
187,Cen BC Spt,4,6,2MN26 
188,Cen BC Spt,4,8,2MN26006
188,Cen BC Spt,4,8,2MN26007
188,Cen BC Spt,4,8,2MN26008
188,Cen BC Spt,4,8,2MN26009
188,Cen BC Spt,4,8,2MN26010
188,Cen BC Spt,4,8,2MN26011
186,JStrBC Spt,4,8,2MN26012
188,Cen BC Spt,4,8,2MN26030
188,Cen BC Spt,4,9,2MN26H006
188,Cen BC Spt,4,9,2MN26H007
188,Cen BC Spt,4,9,2MN26H008
188,Cen BC Spt,4,9,2MN26H009
188,Cen BC Spt,4,9,2MN26H011
188,Cen BC Spt,4,9,2MN26M094
188,Cen BC Spt,4,9,2MN26P006
188,Cen BC Spt,4,9,2MN26P007
188,Cen BC Spt,4,9,2MN26P008
188,Cen BC Spt,4,9,2MN26P009
188,Cen BC Spt,4,9,2MN26P011
186,JStrBC Spt,4,9,2MN26P012
179,Cen BC Net,2,5,2MN50
172,NoC BC Trl,1,5,2MN56
173,SoC BC Trl,1,6,2MN57 
173,SoC BC Trl,1,8,2MN57000
173,SoC BC Trl,1,8,2MN57010
173,SoC BC Trl,1,8,2MN57011
170,JStrBC Trl,1,8,2MN57012
173,SoC BC Trl,1,8,2MN57092
173,SoC BC Trl,1,6,2MN57H
173,SoC BC Trl,1,6,2MN57M
173,SoC BC Trl,1,6,2MN57P
178,No BC  Net,6,5,2MNSK
174,NW VI  Trl,1,5,2MS01
180,NW VI  Net,2,5,2MS01
180,NW VI  Net,3,5,2MS01
175,SW VI  Trl,1,5,2MS02
181,SW VI  Net,2,5,2MS02
181,SW VI  Net,3,5,2MS02
176,GeoStr Trl,1,6,2MS04 
176,GeoStr Trl,1,8,2MS04000
170,JStrBC Trl,1,8,2MS04013
176,GeoStr Trl,1,8,2MS04014
176,GeoStr Trl,1,8,2MS04015
176,GeoStr Trl,1,8,2MS04016
176,GeoStr Trl,1,8,2MS04017
176,GeoStr Trl,1,8,2MS04018
176,GeoStr Trl,1,8,2MS04029
176,GeoStr Trl,1,8,2MS04032
176,GeoStr Trl,1,8,2MS04034
170,JStrBC Trl,1,8,2MS04098
176,GeoStr Trl,1,8,2MS04103
176,GeoStr Trl,1,8,2MS04104
176,GeoStr Trl,1,8,2MS04107
176,GeoStr Trl,1,8,2MS04110
176,GeoStr Trl,1,6,2MS04M
176,GeoStr Trl,1,6,2MS04P
184,Fraser Net,2,5,2MS08
183,GeoStr Net,2,5,2MS10
182,Johnst Net,2,5,2MS11
182,Johnst Net,6,5,2MS11
185,BC JDF Net,2,5,2MS13
185,BC JDF Net,6,5,2MS13
177,BC JDF Trl,1,5,2MS14
180,NW VI  Net,2,5,2MS20
181,SW VI  Net,2,5,2MS21
192,SGaStr Spt,4,5,2MS22
192,SGaStr Spt,4,6,2MS23 
192,SGaStr Spt,4,8,2MS23017
192,SGaStr Spt,4,8,2MS23018
192,SGaStr Spt,4,8,2MS23019
192,SGaStr Spt,4,8,2MS23028
192,SGaStr Spt,4,16,2MS23029 AIRP BR
169,Fraser Spt,4,15,2MS23029 ALBION
192,SGaStr Spt,4,16,2MS23029 ANNA IS
169,Fraser Spt,4,16,2MS23029 BELO MI
192,SGaStr Spt,4,16,2MS23029 BOUN BY
169,Fraser Spt,4,16,2MS23029 BROWNSV
169,Fraser Spt,4,16,2MS23029 BRUN RV
192,SGaStr Spt,4,16,2MS23029 COLL CH
169,Fraser Spt,4,16,2MS23029 CQTL RI
192,SGaStr Spt,4,16,2MS23029 CRES BE
169,Fraser Spt,4,16,2MS23029 CRES IS
192,SGaStr Spt,4,16,2MS23029 DELT BR
169,Fraser Spt,4,16,2MS23029 DERB RE
169,Fraser Spt,4,16,2MS23029 DEWD SL
169,Fraser Spt,4,16,2MS23029 DUNC BR
169,Fraser Spt,4,16,2MS23029 EDGE BR
192,SGaStr Spt,4,16,2MS23029 ENGL BY
169,Fraser Spt,4,16,2MS23029 FO LANG
192,SGaStr Spt,4,16,2MS23029 FRTR IS
169,Fraser Spt,4,13,2MS23029 FSPT
169,Fraser Spt,4,16,2MS23029 GLEN VA
192,SGaStr Spt,4,16,2MS23029 GOSP RK
192,SGaStr Spt,4,16,2MS23029 GOSS IS
192,SGaStr Spt,4,16,2MS23029 GOSS SH
192,SGaStr Spt,4,16,2MS23029 IONA JE
169,Fraser Spt,4,16,2MS23029 LEAD BR
192,SGaStr Spt,4,16,2MS23029 LIGHTSH
192,SGaStr Spt,4,16,2MS23029 LION IT
169,Fraser Spt,4,16,2MS23029 MISS BR
169,Fraser Spt,4,16,2MS23029 NEW WES
169,Fraser Spt,4,16,2MS23029 NICO SL
192,SGaStr Spt,4,16,2MS23029 NORT AR
192,SGaStr Spt,4,16,2MS23029 OCEA PA
192,SGaStr Spt,4,16,2MS23029 POPL CO
192,SGaStr Spt,4,16,2MS23029 PR MELL
192,SGaStr Spt,4,16,2MS23029 PT GREY
192,SGaStr Spt,4,16,2MS23029 PT ROBE
192,SGaStr Spt,4,16,2MS23029 QA MARK
192,SGaStr Spt,4,16,2MS23029 RECE PT
169,Fraser Spt,4,16,2MS23029 RITC BR
192,SGaStr Spt,4,16,2MS23029 ROBE BK
192,SGaStr Spt,4,16,2MS23029 ROBE CR
192,SGaStr Spt,4,16,2MS23029 SALA PT
192,SGaStr Spt,4,16,2MS23029 SAND HD
192,SGaStr Spt,4,16,2MS23029 SARG BY
192,SGaStr Spt,4,16,2MS23029 SARM WE
192,SGaStr Spt,4,16,2MS23029 SELM PA
169,Fraser Spt,4,16,2MS23029 SILV BR
192,SGaStr Spt,4,16,2MS23029 SOUT AR
192,SGaStr Spt,4,16,2MS23029 SUNB BR
192,SGaStr Spt,4,16,2MS23029 TINK BB
192,SGaStr Spt,4,16,2MS23029 TRAI BY
192,SGaStr Spt,4,16,2MS23029 TRAI IS
192,SGaStr Spt,4,16,2MS23029 TSAWWAS
169,Fraser Spt,4,16,2MS23029 TWOB BR
192,SGaStr Spt,4,16,2MS23029 VANC HA
192,SGaStr Spt,4,16,2MS23029 WHIT IT
192,SGaStr Spt,4,16,2MS23029 WHIT RK
